"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC105278399" 404.260353980891 3.65591696720521 0.280718093150323 13.0234461419182 9.00148792988392e-39 1.07198719756988e-34
"LOC105275236" 2868.24180615443 -1.82836156445466 0.144123998152738 -12.6860313888671 7.06773038126048e-37 4.20848005552155e-33
"LOC105286130" 149.377331382319 6.10755469191318 0.489005581264364 12.4897443422253 8.49261011289931e-36 3.37128312781726e-32
"LOC105285466" 2635.65953390309 -1.75398593212842 0.158540580310474 -11.0633247884772 1.88960609396878e-28 5.62582974326854e-25
"LOC105284539" 778.968090732648 -2.02639577385913 0.202285075716551 -10.017524855361 1.2765989024827e-23 3.04060326593329e-20
"LOC105281340" 2045.15775876591 -1.39795403524452 0.139901963660048 -9.99238322802566 1.64576497901852e-23 3.2665691891886e-20
"LOC105287788" 76.2719890496339 4.63065615922778 0.482595285720388 9.59531992177551 8.36571640167533e-22 1.42324738039359e-18
"LOC105280074" 217.365432583335 2.4082804244227 0.254165570952986 9.4752425176743 2.66141757783213e-21 3.96185274180035e-18
"LOC105285890" 723.180941805318 -2.10699098880549 0.227223428925786 -9.27277173294337 1.8137028687813e-20 2.39993194047961e-17
"LOC105277457" 16789.4244108123 1.48041528220557 0.169951253006393 8.71082299198981 3.01676430406321e-18 3.59266460970888e-15
"LOC105277456" 20457.1685403218 1.66275459263705 0.191672466694688 8.67497883921756 4.13627386174601e-18 4.10490711829444e-15
"LOC105287763" 106.364155814879 2.62306315845227 0.302328158631292 8.67621186966991 4.09169576783243e-18 4.10490711829444e-15
"LOC105278524" 1228.72880577644 1.55717600087098 0.179749069475056 8.66305458725653 4.59288334833601e-18 4.20743444579489e-15
"LOC105279728" 610.025735417896 1.64964824801105 0.19927446827419 8.27827198485476 1.24975522056603e-16 1.06309535155149e-13
"LOC105286131" 64.7303743796695 7.46466719358857 0.916233144359678 8.14712635047202 3.72674235677421e-16 2.95878498178827e-13
"LOC105277435" 195.11376143119 2.46316055948211 0.309185988849276 7.96659825579247 1.63101814567783e-15 1.21398719355483e-12
"LOC105277056" 2556.42914714533 -1.88747093219786 0.238467177723875 -7.91501350505937 2.47226255313941e-15 1.73189263207866e-12
"LOC105279365" 1108.50791204901 1.72217174309512 0.218076636797274 7.89709419765156 2.85480621670624e-15 1.88877151304192e-12
"LOC105281708" 437.22575388932 2.09601239481944 0.269995334478378 7.76314301455938 8.28500975823804e-15 5.19295690583457e-12
"LOC105286889" 462.202814939962 -1.72006519598912 0.221788384839352 -7.75543406943973 8.80418094161548e-15 5.24244954168494e-12
"LOC105277654" 5336.85169553418 -1.1310209604461 0.146205388347319 -7.73583636848802 1.02725516798364e-14 5.82551514072247e-12
"LOC105287787" 41.383310280763 6.45338263907797 0.83612660980018 7.71818832631127 1.17994774744721e-14 6.38727169288584e-12
"LOC105283443" 53.4461167886175 8.47036275658668 1.10276360877211 7.6810321715441 1.57811838348919e-14 8.17122253433597e-12
"LOC105275113" 1637.44950033032 -1.14433472694233 0.150672364240007 -7.59485478783298 3.08137782356903e-14 1.52900535420348e-11
"LOC105276066" 778.462453413449 -1.57355232970342 0.20951666042466 -7.51039237888792 5.89504011747156e-14 2.80816131035875e-11
"LOC105285380" 195.682959177592 -2.20947742393655 0.295368045717628 -7.4804213115484 7.40847168497185e-14 3.39336497293576e-11
"LOC105287010" 65.9026022958417 2.61171867731193 0.350167652896948 7.45848068976416 8.75258439550574e-14 3.86053805800288e-11
"LOC105280785" 70.2515170888248 2.82823318403974 0.391067803730856 7.23207882893425 4.75655948365571e-13 2.02306667467342e-10
"LOC105276905" 1648.52769915014 1.16403377967622 0.163342134194338 7.12635343855181 1.03062868556037e-12 4.23233000563394e-10
"LOC105283451" 37.5910805266556 5.21614941281424 0.732487626243148 7.12114338308666 1.07035368983459e-12 4.24894736408004e-10
"LOC105276234" 11725.8244680266 -0.900523335868696 0.126628119924883 -7.11155892074287 1.14739456970541e-12 4.40784578407153e-10
"LOC105277525" 851.194898085502 5.36333247427249 0.757394627523476 7.08129194394933 1.42816667153957e-12 5.31501152855147e-10
"LOC105283322" 40.4746255280543 4.26616775174252 0.617144985832686 6.9127479760471 4.75354034947249e-12 1.71545187945054e-09
"LOC105276176" 11608.2420330142 -1.12193177189608 0.163107689809306 -6.87847257972795 6.04976917895768e-12 2.11902062212374e-09
"LOC105275762" 3514.28076919275 1.3453656797572 0.197798219673027 6.8017077301362 1.03386183818572e-11 3.51778875170107e-09
"LOC105276419" 121.71622352344 -2.09135256324298 0.319303278500657 -6.54973720615487 5.76384208283663e-11 1.87368237934538e-08
"LOC105287193" 55.0368348746024 2.77408818638081 0.423637786926539 6.54825483464687 5.82133244065658e-11 1.87368237934538e-08
"LOC105275269" 1457.67879987148 -1.04268400479552 0.160501376908197 -6.49641781822165 8.22550150385853e-11 2.55360853844936e-08
"LOC105276292" 31.0126171810334 4.81036273296988 0.740747719563654 6.49392850754029 8.36264447052859e-11 2.55360853844936e-08
"LOC105279612" 64.3642828636887 2.81980707607705 0.439536515635482 6.41541026915631 1.40444117936299e-10 4.18137250125846e-08
"LOC105281428_Q" 4037.21424115024 6.69689220062862 1.04809989555669 6.38955525997035 1.66368908913331e-10 4.83240813719233e-08
"LOC105279939" 44.4829489255446 2.73029863588574 0.432843820308031 6.30781475392842 2.83002644060241e-10 8.02447259074623e-08
"LOC105282946" 287.239716546969 1.46776280446962 0.233221308291449 6.29343354268213 3.10519484232324e-10 8.59994543656452e-08
