"M_B7_C16b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B7_C16b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B7_STC1b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B7_STC1b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B8_C1b_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B8_C1b_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out" "M_B8_STC6_FL06_ctrlF_PEAligned.out.bam.htseq.gene.out" "M_B8_STC6_SP06_ctrlS_PEAligned.out.bam.htseq.gene.out"
"LOC105274440" 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062
"LOC105274441" 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062 5.35998135517062
"LOC105274442" 11.6636776121014 10.711891741145 11.1555229224802 10.9432584829719 11.1549938563526 10.9109807593343 11.2995224832102 10.7459733603823
"LOC105274443" 9.2150444837166 9.05651524650211 9.0816684498951 8.78498680714264 8.88368331496336 9.21066841379254 9.35830359496958 9.13787266401164
"LOC105274444" 11.4846899748792 11.6205819041406 11.6919585553336 11.5318378985435 11.7510614026708 11.4780751869856 11.4714356030855 11.4898738015304
"LOC105274445" 10.3523340104422 10.4171528731552 10.274190420586 10.6040094048535 10.4599630532056 10.4671219859402 10.5741121962283 10.4873005140044
"LOC105274446" 10.4470552597633 10.613406701989 10.6290941960042 10.8173600865952 10.8918652763871 10.8892452210967 10.4862279728416 10.4177523863816
"LOC105274447" 9.44815833932986 9.40283843993895 9.45728442568345 9.56669561511052 9.39804502084457 9.40512575796674 9.72211568788261 9.54453860859127
"LOC105274448" 6.40164190399092 6.52124253037426 5.89764827858121 6.17035930716628 6.45886453334888 6.41110700322417 6.06200861359214 6.29845659616262
"LOC105274449" 10.2603728813179 10.467478675795 10.0860858041176 10.1896565818156 10.0876582537945 10.0695947906221 10.1801918225302 10.4158510043951
"LOC105274450" 11.1681011786465 11.1872408435136 11.3689196939753 11.3331104604834 11.6742184819957 11.792388125949 11.0298969360144 11.1417185643518
"LOC105274451" 10.8562556678967 10.6800551402463 10.6644269093663 10.426352756639 10.5312163633691 10.3982281242976 10.8702327470484 10.7655091690109
"LOC105274452" 9.30376942897537 9.2674081233841 9.1000935185152 9.35042531135899 9.20594521985844 9.38967724289142 9.38333701607471 9.35061794653088
"LOC105274453" 9.47601736027083 9.72139305805018 9.98110237269074 10.0565470020002 9.93733090356583 9.96599785883676 9.50841081909012 9.99702076836351
"LOC105274454" 7.22819493402634 7.32271214774917 7.52162252962129 7.46423869932138 7.64357196086597 7.15201990759206 7.09761988026946 7.05954892413922
"LOC105274455" 7.30079429408525 7.49877874654455 7.6487865089481 7.4325180712938 7.42926637549783 7.22916350952075 7.43546863888795 7.32863344575425
"LOC105274456" 10.2328450354478 10.4482625072632 10.2038516674797 10.6151833016979 10.1025189421362 10.1357603760666 10.3519028198445 10.5725396445737
"LOC105274457" 8.9410590097595 8.75546990375008 8.56124641057583 8.55125588465957 8.26643162128898 9.03944147270101 8.61814650621769 7.98692068557748
"LOC105274458" 8.99433245841617 8.99490610017296 9.04725817474523 9.11149721516955 8.998210317115 8.88959259610249 9.11278551203245 9.06172721491007
"LOC105274459" 9.69948339478346 9.09540467258046 10.3140155086528 9.62325129675699 10.7334329719827 10.3644760394477 9.23531590778551 8.78467944811748
"LOC105274460" 10.8624592212592 10.9730489898322 11.7769822644059 11.5336048391445 11.7209206094922 11.7553330707611 10.9575443906082 10.8096060081997
"LOC105274461" 11.5602689917514 11.5057942862031 11.2786215288994 11.2751414356715 11.3221394911282 11.1198099053335 11.6430313874027 11.4346431531916
"LOC105274462" 5.8892262307613 6.7038342601622 6.07808304100709 5.78721038207468 5.97192232401479 5.60619638759384 5.87744777433277 5.92148111741171
"LOC105274463" 8.79450870792533 8.68194111071907 9.02813284519288 8.46386763957405 8.917893570325 8.45417522053624 8.79620009158482 8.33364722182781
