"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"LOC105278524" 1018.45956553811 1.38551851490447 0.0880001727442207 15.7444976719715 7.49237075616805e-56 9.12570758101268e-52
"LOC105275236" 3149.1868316834 -1.65156508002173 0.109557517356366 -15.0748677030492 2.36990121468627e-51 1.44326983974394e-47
"LOC105281428_Q" 17390.9041155266 8.14299021271142 0.543812147393338 14.973902756206 1.08747801605323e-50 4.41516074517612e-47
"LOC105275425" 402.67181500908 9.74808098069739 0.713756253676175 13.657436877772 1.82287723036583e-42 5.55066116646394e-39
"LOC105276066" 730.162100259919 -1.3593124260686 0.101498995447453 -13.3923731961696 6.70050108403269e-41 1.63224206407036e-37
"LOC105277457" 9063.80428129295 0.714892826457558 0.0599258677166989 11.9296199403775 8.29513425865929e-33 1.68391225450784e-29
"LOC105277456" 12908.7673104778 0.954781104012157 0.0802016537734058 11.9047558135111 1.1179006410423e-32 1.9451471154136e-29
"LOC105280188" 3887.99874911389 0.606062423227112 0.0518837235386258 11.6811666914368 1.59096695914418e-31 2.42224719529702e-28
"LOC105284062" 46601.1416423438 1.36501654486174 0.124283075221201 10.9831249543211 4.60705884346393e-28 6.23488630148786e-25
"LOC105279728" 382.816360727008 1.15248280419858 0.106620514752083 10.8092031526799 3.11362888236166e-27 3.7923999787165e-24
"LOC105281123" 15192.8805145705 -0.501777543261691 0.0464926742826821 -10.792615202361 3.73020935372688e-27 4.1303590843994e-24
"LOC105281074" 2985.12812491793 1.06431102686778 0.0986971465517036 10.783604836136 4.11439015022779e-27 4.17610600248121e-24
"LOC105280465" 9129.7420840145 -0.724979021363344 0.068196339203743 -10.6307615603442 2.14354868868589e-26 2.00834023293801e-23
"LOC105283605" 84.2794040168229 5.70641446049816 0.538416644772565 10.5985104953593 3.02763780350536e-26 2.63404488904967e-23
"LOC105281072" 3835.36942740732 1.07450707539259 0.103787352217754 10.352967413006 4.05712305186115e-25 3.29438391811125e-22
"LOC105287283" 7628.96805021857 0.703782581293424 0.0684448206417046 10.2824811971908 8.45231479119342e-25 6.43432463479599e-22
"LOC105286381" 6229.66404635144 10.4179080750238 1.01939897463958 10.2196572040964 1.61912430432486e-24 1.1600549427457e-21
"LOC105286475" 280.22909025082 0.960189459029202 0.0955272360736042 10.0514732603524 9.05041129674371e-24 6.12411164412991e-21
